ordernumber,orderdate,status,productcode,productline,quantityordered,priceeach,total_price,sales,tva_estime,country,dealsize,month
10107,2003-02-24,Shipped,S10_1678,Motorcycles,30,95.7,2871.0,2871.0,0.0,USA,Small,2
10121,2003-05-07,Shipped,S10_1678,Motorcycles,34,81.35,2765.8999999999996,2765.9,0.0,France,Small,5
10134,2003-07-01,Shipped,S10_1678,Motorcycles,41,94.74,3884.3399999999997,3884.34,0.0,France,Medium,7
10145,2003-08-25,Shipped,S10_1678,Motorcycles,45,83.26,3746.7000000000003,3746.7,0.0,USA,Medium,8
10159,2003-10-10,Shipped,S10_1678,Motorcycles,49,100.0,4900.0,5205.27,305.27,USA,Medium,10
10168,2003-10-28,Shipped,S10_1678,Motorcycles,36,96.66,3479.7599999999998,3479.76,0.0,USA,Medium,10
10180,2003-11-11,Shipped,S10_1678,Motorcycles,29,86.13,2497.77,2497.77,0.0,France,Small,11
10188,2003-11-18,Shipped,S10_1678,Motorcycles,48,100.0,4800.0,5512.32,712.32,Norway,Medium,11
10201,2003-12-01,Shipped,S10_1678,Motorcycles,22,98.57,2168.54,2168.54,0.0,USA,Small,12
10211,2004-01-15,Shipped,S10_1678,Motorcycles,41,100.0,4100.0,4708.44,608.44,France,Medium,1
10223,2004-02-20,Shipped,S10_1678,Motorcycles,37,100.0,3700.0,3965.66,265.66,Australia,Medium,2
10237,2004-04-05,Shipped,S10_1678,Motorcycles,23,100.0,2300.0,2333.12,33.12,USA,Small,4
10251,2004-05-18,Shipped,S10_1678,Motorcycles,28,100.0,2800.0,3188.64,388.64,USA,Medium,5
10263,2004-06-28,Shipped,S10_1678,Motorcycles,34,100.0,3400.0,3676.76,276.76,USA,Medium,6
10275,2004-07-23,Shipped,S10_1678,Motorcycles,45,92.83,4177.35,4177.35,0.0,France,Medium,7
10285,2004-08-27,Shipped,S10_1678,Motorcycles,36,100.0,3600.0,4099.68,499.68,USA,Medium,8
